[20:43:49.702] [@Ta'llia] [@Ta'llia] [Hunter's Boon {1781346275950592}] [ApplyEffect {836045448945477}: Coordination {1781346275950860}] ()
[20:43:49.702] [@Ta'llia] [@Ta'llia] [Hunter's Boon {1781346275950592}] [ApplyEffect {836045448945477}: Hunter's Boon {1781346275950592}] ()
[20:43:49.703] [@Ta'llia] [@Ta'llia] [Hunter's Boon {1781346275950592}] [ApplyEffect {836045448945477}: Unnatural Might {1781346275950868}] ()
[20:43:49.704] [@Ta'llia] [@Ta'llia] [Hunter's Boon {1781346275950592}] [ApplyEffect {836045448945477}: Mark of Power {1781346275950864}] ()
[20:43:49.707] [@Ta'llia] [@Ta'llia] [Safe Login {973870949466112}] [ApplyEffect {836045448945477}: Safe Login Immunity {973870949466372}] ()
[20:43:50.733] [@Ta'llia] [@Ta'llia] [High Velocity Gas Cylinder {2022311121125376}] [ApplyEffect {836045448945477}: High Velocity Gas Cylinder {2022311121125376}] ()
[20:43:50.733] [@Ta'llia] [@Ta'llia] [Sprint {810670782152704}] [ApplyEffect {836045448945477}: Sprint {810670782152704}] ()
[20:44:39.099] [@Ta'llia] [@Ta'llia] [Safe Login {973870949466112}] [RemoveEffect {836045448945478}: Safe Login Immunity {973870949466372}] ()
[20:46:12.450] [@Ta'llia] [@Ta'llia] [Hunter's Boon {1781346275950592}] [ApplyEffect {836045448945477}: Coordination {1781346275950860}] ()
[20:46:12.450] [@Ta'llia] [@Ta'llia] [Hunter's Boon {1781346275950592}] [ApplyEffect {836045448945477}: Hunter's Boon {1781346275950592}] ()
[20:46:12.451] [@Ta'llia] [@Ta'llia] [Hunter's Boon {1781346275950592}] [ApplyEffect {836045448945477}: Unnatural Might {1781346275950868}] ()
[20:46:12.451] [@Ta'llia] [@Ta'llia] [Hunter's Boon {1781346275950592}] [ApplyEffect {836045448945477}: Mark of Power {1781346275950864}] ()
[20:46:12.454] [@Ta'llia] [@Ta'llia] [Safe Login {973870949466112}] [ApplyEffect {836045448945477}: Safe Login Immunity {973870949466372}] ()
[20:46:12.545] [@Ta'llia] [@Ta'llia] [High Velocity Gas Cylinder {2022311121125376}] [ApplyEffect {836045448945477}: High Velocity Gas Cylinder {2022311121125376}] ()
[20:46:12.546] [@Ta'llia] [@Ta'llia] [Sprint {810670782152704}] [ApplyEffect {836045448945477}: Sprint {810670782152704}] ()
[20:46:24.041] [@Ta'llia] [@Ta'llia] [Safe Login {973870949466112}] [RemoveEffect {836045448945478}: Safe Login Immunity {973870949466372}] ()
[20:46:56.187] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:47:03.797] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[20:47:03.798] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:47:06.193] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:47:06.392] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:47:11.400] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:47:19.570] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:47:20.576] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[20:47:20.576] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:47:22.705] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:47:30.132] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
